apn,kwh_actual,kwh_baseline,predictions,percent_delta,retrofitted
00600340190000,38.04313481312532,40.06596,40.08002,0.0133680655,kwh_sim_00600340190000
00600470060000,11.702018681163098,11.081017,10.9926,-0.6900661,kwh_sim_00600340190000
00600470080000,11.401913332606192,10.5140295,10.539284,0.13906819,kwh_sim_00600340190000
00600470120000,167.41747720031947,170.83815,170.91858,-0.06291757,kwh_sim_00600340190000
00600910010000,67.71408745548227,64.10008,64.53673,0.9548632,kwh_sim_00600340190000
00600940090000,22.913726924922003,24.102163,24.07595,-0.10609122,kwh_sim_00600340190000
00600960230000,4.198491436248515,4.238829,4.1880445,-0.64891636,kwh_sim_00600340190000
00600970130000,525.695928146551,524.0879,527.0559,0.5412346,kwh_sim_00600340190000
00600970150000,295.04101475953183,293.2457,293.08063,-0.110463075,kwh_sim_00600340190000
00601010030000,19.594001878203052,20.908684,20.92689,-0.1390333,kwh_sim_00600340190000
00601010110000,7.711024463558808,6.543597,6.459099,-0.94180024,kwh_sim_00600340190000
00601010140000,8.45513261734566,9.025914,9.065744,0.41392717,kwh_sim_00600340190000
00601010150000,15.638227409850328,16.273754,16.441366,0.51234734,kwh_sim_00600340190000
00601010190000,16.198765169515276,16.924044,16.913584,-0.15737893,kwh_sim_00600340190000
00601010210000,32.28397247031495,33.388943,33.170597,-0.553593,kwh_sim_00600340190000
00601020070000,195.11662383393926,210.00838,211.19142,0.5478281,kwh_sim_00600340190000
00601020160000,61.883938385999244,62.314438,62.36785,-0.034654237,kwh_sim_00600340190000
00601020190000,277.72005696436423,326.6188,328.52716,0.400638,kwh_sim_00600340190000
00601020200000,345.0444469879835,361.93796,363.09302,0.2846603,kwh_sim_00600340190000
00601030100000,14.936326413446075,14.334919,14.293303,-0.28588435,kwh_sim_00600340190000
00601030110000,60.98179786316641,61.09302,60.973156,-0.29657546,kwh_sim_00600340190000
00601040010000,77.09698707432975,73.21601,72.91774,-0.4068097,kwh_sim_00600340190000
00601060050000,257.9231053743607,276.89453,277.54337,0.11688402,kwh_sim_00600340190000
00601060060000,111.92244334950115,125.39962,126.51989,0.394226,kwh_sim_00600340190000
00601450250000,678.1282236881746,699.5496,703.717,0.67979854,kwh_sim_00600340190000
00601510200000,541.0706825849664,558.84485,559.9993,0.15012477,kwh_sim_00600340190000
00601530150000,737.9512946789081,753.23285,755.42755,0.2683061,kwh_sim_00600340190000
00601550120000,104.90274506064998,107.956696,107.538124,-0.37803626,kwh_sim_00600340190000
00603700370000,246.9209256661244,249.67677,249.9933,0.06858762,kwh_sim_00600340190000
00600340190000,38.04313481312532,40.06596,40.124104,0.14462401,kwh_sim_00600470060000
00600470060000,11.702018681163098,11.081017,11.11835,0.40913227,kwh_sim_00600470060000
00600470080000,11.401913332606192,10.5140295,10.507882,-0.03016438,kwh_sim_00600470060000
00600470120000,167.41747720031947,170.83815,170.6096,-0.080053896,kwh_sim_00600470060000
00600910010000,67.71408745548227,64.10008,64.08969,0.27823353,kwh_sim_00600470060000
00600940090000,22.913726924922003,24.102163,24.14104,0.16388288,kwh_sim_00600470060000
00600960230000,4.198491436248515,4.238829,4.263525,0.9741493,kwh_sim_00600470060000
00600970130000,525.695928146551,524.0879,525.1777,0.18510099,kwh_sim_00600470060000
00600970150000,295.04101475953183,293.2457,292.86227,-0.111682266,kwh_sim_00600470060000
00601010030000,19.594001878203052,20.908684,20.817339,-0.35482505,kwh_sim_00600470060000
00601010110000,7.711024463558808,6.543597,6.609688,1.0250909,kwh_sim_00600470060000
00601010140000,8.45513261734566,9.025914,9.028746,0.06695153,kwh_sim_00600470060000
00601010150000,15.638227409850328,16.273754,16.273232,0.10902249,kwh_sim_00600470060000
00601010190000,16.198765169515276,16.924044,17.029179,0.7517239,kwh_sim_00600470060000
00601010210000,32.28397247031495,33.388943,33.430973,0.22130309,kwh_sim_00600470060000
00601020070000,195.11662383393926,210.00838,210.03238,0.047224954,kwh_sim_00600470060000
00601020160000,61.883938385999244,62.314438,62.299297,-0.023979252,kwh_sim_00600470060000
00601020190000,277.72005696436423,326.6188,328.40283,0.53761214,kwh_sim_00600470060000
00601020200000,345.0444469879835,361.93796,362.29163,0.13464662,kwh_sim_00600470060000
00601030100000,14.936326413446075,14.334919,14.434912,0.69404936,kwh_sim_00600470060000
00601030110000,60.98179786316641,61.09302,61.389095,0.5676386,kwh_sim_00600470060000
00601040010000,77.09698707432975,73.21601,73.2306,0.034428153,kwh_sim_00600470060000
00601060050000,257.9231053743607,276.89453,276.79883,0.042036083,kwh_sim_00600470060000
00601060060000,111.92244334950115,125.39962,125.62794,0.37743473,kwh_sim_00600470060000
00601450250000,678.1282236881746,699.5496,700.90753,0.2101898,kwh_sim_00600470060000
00601510200000,541.0706825849664,558.84485,560.2581,0.27804026,kwh_sim_00600470060000
00601530150000,737.9512946789081,753.23285,754.4326,0.1529889,kwh_sim_00600470060000
00601550120000,104.90274506064998,107.956696,108.43442,0.5114855,kwh_sim_00600470060000
00603700370000,246.9209256661244,249.67677,249.60056,0.03781456,kwh_sim_00600470060000
00600340190000,38.04313481312532,40.06596,40.13132,0.17206065,kwh_sim_00600470080000
00600470060000,11.702018681163098,11.081017,11.178305,0.91777456,kwh_sim_00600470080000
00600470080000,11.401913332606192,10.5140295,10.475534,-0.3855481,kwh_sim_00600470080000
00600470120000,167.41747720031947,170.83815,172.00504,0.74336255,kwh_sim_00600470080000
00600910010000,67.71408745548227,64.10008,64.607285,0.8429327,kwh_sim_00600470080000
00600940090000,22.913726924922003,24.102163,24.08434,-0.07116295,kwh_sim_00600470080000
00600960230000,4.198491436248515,4.238829,4.261945,0.62375396,kwh_sim_00600470080000
00600970130000,525.695928146551,524.0879,527.6525,0.71633106,kwh_sim_00600470080000
00600970150000,295.04101475953183,293.2457,294.34518,0.36724684,kwh_sim_00600470080000
00601010030000,19.594001878203052,20.908684,20.973886,0.29025468,kwh_sim_00600470080000
00601010110000,7.711024463558808,6.543597,6.5962934,0.7304946,kwh_sim_00600470080000
00601010140000,8.45513261734566,9.025914,9.034089,0.09405176,kwh_sim_00600470080000
00601010150000,15.638227409850328,16.273754,16.390179,0.6537437,kwh_sim_00600470080000
00601010190000,16.198765169515276,16.924044,17.082968,0.95383894,kwh_sim_00600470080000
00601010210000,32.28397247031495,33.388943,33.815533,1.1994247,kwh_sim_00600470080000
00601020070000,195.11662383393926,210.00838,211.48386,0.75888413,kwh_sim_00600470080000
00601020160000,61.883938385999244,62.314438,62.500374,0.28552157,kwh_sim_00600470080000
00601020190000,277.72005696436423,326.6188,330.4191,1.283081,kwh_sim_00600470080000
00601020200000,345.0444469879835,361.93796,364.59222,0.7982793,kwh_sim_00600470080000
