building,savings
kwh_sim_00600970130000,-0.7396817207336426
kwh_sim_00603700370000,-0.45214295387268066
kwh_sim_00601020190000,-0.32618045806884766
kwh_sim_00601530150000,-0.2861976623535156
kwh_sim_00601450250000,-0.17823576927185059
kwh_sim_00601020200000,-0.057256221771240234
kwh_sim_00601060050000,-0.053811073303222656
kwh_sim_00600970150000,-0.0401616096496582
kwh_sim_00600470120000,-0.020515918731689453
kwh_sim_00601020160000,-0.017440319061279297
kwh_sim_00601550120000,-0.017207860946655273
kwh_sim_00601010030000,-0.009906291961669922
kwh_sim_00600910010000,-0.0044345855712890625
kwh_sim_00601510200000,-0.003516674041748047
kwh_sim_00600340190000,-0.003224611282348633
kwh_sim_00601010110000,-0.0019431114196777344
kwh_sim_00600470080000,-0.0015974044799804688
kwh_sim_00601010210000,-0.0007867813110351562
kwh_sim_00600960230000,-0.0005424022674560547
kwh_sim_00601010150000,-0.00042319297790527344
kwh_sim_00601040010000,0.0006556510925292969
kwh_sim_00601030100000,0.0008225440979003906
kwh_sim_00600940090000,0.0012755393981933594
kwh_sim_00601010140000,0.0014424324035644531
kwh_sim_00600470060000,0.0032901763916015625
kwh_sim_00601010190000,0.00362396240234375
kwh_sim_00601020070000,0.005662441253662109
kwh_sim_00601030110000,0.017261505126953125
kwh_sim_00601060060000,0.0851750373840332
