building,savings
kwh_sim_00603700370000,-0.03311634063720703
kwh_sim_00601450250000,-0.03161430358886719
kwh_sim_00601020190000,-0.016707181930541992
kwh_sim_00601060050000,-0.016099214553833008
kwh_sim_00600970130000,-0.01569986343383789
kwh_sim_00601530150000,-0.013011693954467773
kwh_sim_00600470120000,-0.006270408630371094
kwh_sim_00601550120000,-0.004774332046508789
kwh_sim_00601020200000,-0.003319978713989258
kwh_sim_00601020070000,-0.0023365020751953125
kwh_sim_00600340190000,-0.001710653305053711
kwh_sim_00600970150000,-0.0015377998352050781
kwh_sim_00601040010000,-0.0014662742614746094
kwh_sim_00601010210000,-0.0010609626770019531
kwh_sim_00601010110000,-0.0005304813385009766
kwh_sim_00601010030000,-0.0005125999450683594
kwh_sim_00601010150000,-0.0003039836883544922
kwh_sim_00600910010000,-0.000286102294921875
kwh_sim_00601510200000,-0.00019073486328125
kwh_sim_00601020160000,-0.00016689300537109375
kwh_sim_00600960230000,-2.9802322387695312e-05
kwh_sim_00600470080000,-1.1920928955078125e-05
kwh_sim_00600470060000,2.384185791015625e-05
kwh_sim_00601030100000,0.00019073486328125
kwh_sim_00600940090000,0.0003457069396972656
kwh_sim_00601010140000,0.0004410743713378906
kwh_sim_00601060060000,0.0005841255187988281
kwh_sim_00601010190000,0.0009655952453613281
kwh_sim_00601030110000,0.007152557373046875
