building,savings
kwh_sim_00601010030000,-2.1995186805725098
kwh_sim_00600470120000,-2.1072804927825928
kwh_sim_00603700370000,-1.8687844276428223
kwh_sim_00601040010000,-1.0277748107910156
kwh_sim_00601450250000,-0.9704470634460449
kwh_sim_00601530150000,-0.8652329444885254
kwh_sim_00600970150000,-0.31692981719970703
kwh_sim_00601030110000,-0.2726733684539795
kwh_sim_00601020160000,-0.24483799934387207
kwh_sim_00601010190000,-0.21478533744812012
kwh_sim_00600340190000,-0.10535120964050293
kwh_sim_00601020200000,-0.09021162986755371
kwh_sim_00600910010000,-0.08817911148071289
kwh_sim_00601010210000,-0.09264945983886719
kwh_sim_00601060050000,-0.06833076477050781
kwh_sim_00601010110000,-0.041484832763671875
